Sub;Stimulation;Type;Choice;Rating;Evaluation
1;sham;Difficult;Selected;R1;6.736842105
2;sham;Difficult;Selected;R1;5.611111111
3;sham;Difficult;Selected;R1;5.954545455
4;sham;Difficult;Selected;R1;6.357142857
5;sham;Difficult;Selected;R1;6.285714286
6;sham;Difficult;Selected;R1;5.642857143
7;sham;Difficult;Selected;R1;6.882352941
8;sham;Difficult;Selected;R1;7.314285714
9;sham;Difficult;Selected;R1;6.808510638
10;sham;Difficult;Selected;R1;5.275862069
11;sham;Difficult;Selected;R1;7.391304348
12;sham;Difficult;Selected;R1;6.526315789
13;sham;Difficult;Selected;R1;6.363636364
14;sham;Difficult;Selected;R1;6.35
15;sham;Difficult;Selected;R1;8
16;sham;Difficult;Selected;R1;6.133333333
17;sham;Difficult;Selected;R1;6.086956522
1;sham;Easy;Selected;R1;5.4
2;sham;Easy;Selected;R1;5.590909091
3;sham;Easy;Selected;R1;6.291666667
4;sham;Easy;Selected;R1;6.59375
5;sham;Easy;Selected;R1;6.612903226
6;sham;Easy;Selected;R1;6.055555556
7;sham;Easy;Selected;R1;6.692307692
8;sham;Easy;Selected;R1;7.5
9;sham;Easy;Selected;R1;7.1
10;sham;Easy;Selected;R1;6.238095238
11;sham;Easy;Selected;R1;6.952380952
12;sham;Easy;Selected;R1;6.88
13;sham;Easy;Selected;R1;6.518518519
14;sham;Easy;Selected;R1;6.2
15;sham;Easy;Selected;R1;6.277777778
16;sham;Easy;Selected;R1;6.611111111
17;sham;Easy;Selected;R1;6.243243243
1;sham;Computer;Selected;R1;6.3125
2;sham;Computer;Selected;R1;5.666666667
3;sham;Computer;Selected;R1;5.875
4;sham;Computer;Selected;R1;6.228571429
5;sham;Computer;Selected;R1;6.136363636
6;sham;Computer;Selected;R1;6.454545455
7;sham;Computer;Selected;R1;6.454545455
8;sham;Computer;Selected;R1;7.147058824
9;sham;Computer;Selected;R1;6.320754717
10;sham;Computer;Selected;R1;5.428571429
11;sham;Computer;Selected;R1;6.76
12;sham;Computer;Selected;R1;6.3
13;sham;Computer;Selected;R1;6.05
14;sham;Computer;Selected;R1;6.571428571
15;sham;Computer;Selected;R1;7.818181818
16;sham;Computer;Selected;R1;6.588235294
17;sham;Computer;Selected;R1;6.258064516
1;sham;Post-Ex;Selected;R1;6.21875
2;sham;Post-Ex;Selected;R1;5.645833333
3;sham;Post-Ex;Selected;R1;6.03125
4;sham;Post-Ex;Selected;R1;6.328571429
5;sham;Post-Ex;Selected;R1;6.204545455
6;sham;Post-Ex;Selected;R1;6.454545455
7;sham;Post-Ex;Selected;R1;6.590909091
8;sham;Post-Ex;Selected;R1;7.205882353
9;sham;Post-Ex;Selected;R1;6.349056604
10;sham;Post-Ex;Selected;R1;5.5
11;sham;Post-Ex;Selected;R1;6.82
12;sham;Post-Ex;Selected;R1;6.375
13;sham;Post-Ex;Selected;R1;6.05
14;sham;Post-Ex;Selected;R1;6.666666667
15;sham;Post-Ex;Selected;R1;7.863636364
16;sham;Post-Ex;Selected;R1;6.647058824
17;sham;Post-Ex;Selected;R1;6.290322581
1;sham;Difficult;Rejected;R1;6.736842105
2;sham;Difficult;Rejected;R1;5.277777778
3;sham;Difficult;Rejected;R1;5.681818182
4;sham;Difficult;Rejected;R1;5.952380952
5;sham;Difficult;Rejected;R1;5.892857143
6;sham;Difficult;Rejected;R1;5.5
7;sham;Difficult;Rejected;R1;6.588235294
8;sham;Difficult;Rejected;R1;7.085714286
9;sham;Difficult;Rejected;R1;6.404255319
10;sham;Difficult;Rejected;R1;5.103448276
11;sham;Difficult;Rejected;R1;7.217391304
12;sham;Difficult;Rejected;R1;6.157894737
13;sham;Difficult;Rejected;R1;6.272727273
14;sham;Difficult;Rejected;R1;6.15
